,Movie_Name,year,runtime,genre,Rating,director,stars,Votes
0,The Fabelmans,2022,151,Drama,7.6,Steven Spielberg,"['Michelle Williams', 'Gabriel LaBelle', 'Paul Dano', 'Judd Hirsch']",90961
1,The Kerala Story,2023,138,Drama,7.4,Sudipto Sen,"['Adah Sharma', 'Yogita Bihani', 'Sonia Balani', 'Siddhi Idnani']",59726
2,Bhediya,2022,156,Comedy,7.0,Amar Kaushik,"['Varun Dhawan', 'Kriti Sanon', 'Abhishek Banerjee', 'Deepak Dobriyal']",18371
3,Sirf Ek Bandaa Kaafi Hai,2023,132,Action,7.6,Apoorv Singh Karki,"['Manoj Bajpayee', 'Surya Mohan Kulshreshtha', 'Jai Hind Kumar', 'Nikhil Pandey']",15902
4,Operation Mayfair,2023,116,Crime,2.3,Sudipto Sarkar,"['Jimmy Shergill', 'Hritiqa Chheber', 'Sammy Jonas Heaney', 'Bryan Lawrence']",652
5,Bheed,2023,124,Drama,7.5,Anubhav Sinha,"['Rajkummar Rao', 'Pankaj Kapur', 'Bhumi Pednekar', 'Aditya Srivastav']",10301
6,Bholaa,2023,144,Action,6.7,Ajay Devgn,"['Amala Paul', 'Ajay Devgn', 'Tabu', 'Deepak Dobriyal']",18946
7,RRR (Rise Roar Revolt),2022,187,Action,7.8,S.S. Rajamouli,"['N.T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt']",150679
8,Kathal: A Jackfruit Mystery,2023,115,Comedy,6.7,Yashowardhan Mishra,"['Sanya Malhotra', 'Anant Joshi', 'Vijay Raaz', 'Rajpal Naurang Yadav']",4182
9,Mrs. Chatterjee vs. Norway,2023,133,Biography,7.3,Ashima Chibber,"['Rani Mukerji', 'Jim Sarbh', 'Bodhisattwa Majumdar', 'Saswati Guhathakurta']",6444
10,Zara Hatke Zara Bachke,2023,132,Comedy,8.6,Laxman Utekar,"['Vicky Kaushal', 'Sara Ali Khan', 'Inaamulhaq', 'Sushmita Mukherjee']",6622
11,Dasara,2023,156,Action,6.8,Srikanth Odela,"['Nani', 'Keerthy Suresh', 'Shine Tom Chacko', 'Dheekshith Shetty']",8210
12,IB 71,2023,117,Action,8.7,Sankalp Reddy,"['Anupam Kher', 'Vidyut Jammwal', 'Bijay Anand', 'Nissar Khan']",4076
13,Vikram Vedha,2022,160,Action,7.1,Gayatri,"['Saif Ali Khan', 'Hrithik Roshan', 'Radhika Apte', 'Rohit Saraf']",20437
14,Virupaksha,2023,145,Action,7.4,Karthik Varma Dandu,"['Sai Dharam Tej', 'Samyuktha Menon', 'Sunil', 'Rajeev Kanakala']",3705
15,2018,2023,150,Action,8.8,Jude Anthany Joseph,"['Tovino Thomas', 'Kunchacko Boban', 'Asif Ali', 'Vineeth Sreenivasan']",3995
16,Pachuvum Athbutha Vilakkum,2023,171,Comedy,7.4,Akhil Sathyan,"['Adarsh', 'Mohan Agashe', 'Ashraf', 'Devika Daftardar']",1601
17,Tu Jhoothi Main Makkaar,2023,150,Comedy,6.1,Luv Ranjan,"['Shraddha Kapoor', 'Nushrratt Bharuccha', 'Ranbir Kapoor', 'Kartik Aaryan']",20399
18,Jogira Sara Ra Ra,2023,121,Comedy,8.8,Kushan Nandy,"['Nawazuddin Siddiqui', 'Neha Sharma', 'Vishal Anand', 'Mimoh Chakraborty']",3110
19,Kennedy,2023,142,Action,7.0,Anurag Kashyap,"['Rahul Bhat', 'Megha Burman', 'K.K. Gautam', 'Sunny Leone']",76
20,The Kashmir Files,2022,170,Drama,8.7,Vivek Agnihotri,"['Mithun Chakraborty', 'Anupam Kher', 'Darshan Kumaar', 'Pallavi Joshi']",569079
21,Bloody Daddy,2023,120,Action,7.1,Ali Abbas Zafar,"['Shahid Kapoor', 'Amy Aela', 'Ankur Bhatia', 'Diana Penty']",3368
22,Ponniyin Selvan: Part Two,2023,164,Action,7.9,Mani Ratnam,"['Vikram', 'Karthi', 'Jayam Ravi', 'Aishwarya Rai Bachchan']",12796
23,Pathaan,2023,146,Action,5.9,Siddharth Anand,"['Shah Rukh Khan', 'Deepika Padukone', 'John Abraham', 'Dimple Kapadia']",139892
24,Custody,2023,148,Action,8.3,Venkat Prabhu,"['Naga Chaitanya Akkineni', 'Krithi Shetty', 'Arvind Swami', 'Premgi Amaren']",3566
25,Chor Nikal Ke Bhaga,2023,110,Crime,7.8,Ajay Singh,"['Yami Gautam', 'Sunny Kaushal', 'Sharad Kelkar', 'Indraneil Sengupta']",48683
